src_ip_numeric,Amazon_time_occupation,AmazonVideo_time_occupation,Apple_time_occupation,AppleiCloud_time_occupation,AppleiTunes_time_occupation,AppleStore_time_occupation,DataSaver_time_occupation,Deezer_time_occupation,Dropbox_time_occupation,eBay_time_occupation,Facebook_time_occupation,GMail_time_occupation,Google_time_occupation,GoogleDocs_time_occupation,GoogleDrive_time_occupation,GoogleHangoutDuo_time_occupation,GoogleMaps_time_occupation,GooglePlus_time_occupation,GoogleServices_time_occupation,HTTP_time_occupation,HTTP_Proxy_time_occupation,IMO_time_occupation,Instagram_time_occupation,LinkedIn_time_occupation,LotusNotes_time_occupation,Messenger_time_occupation,MS_OneDrive_time_occupation,MSN_time_occupation,NetFlix_time_occupation,Playstation_time_occupation,PlayStore_time_occupation,PS_VUE_time_occupation,Sina_Weibo_time_occupation,Skype_time_occupation,SkypeCall_time_occupation,Snapchat_time_occupation,SoundCloud_time_occupation,Spotify_time_occupation,Steam_time_occupation,TeamViewer_time_occupation,Telegram_time_occupation,TikTok_time_occupation,Tuenti_time_occupation,Twitch_time_occupation,Twitter_time_occupation,Viber_time_occupation,Waze_time_occupation,WeChat_time_occupation,WhatsApp_time_occupation,WhatsAppCall_time_occupation,WhatsAppFiles_time_occupation,Wikipedia_time_occupation,Xbox_time_occupation,Yahoo_time_occupation,YouTube_time_occupation,Zoom_time_occupation,Amazon_data_occupation,AmazonVideo_data_occupation,Apple_data_occupation,AppleiCloud_data_occupation,AppleiTunes_data_occupation,AppleStore_data_occupation,DataSaver_data_occupation,Deezer_data_occupation,Dropbox_data_occupation,eBay_data_occupation,Facebook_data_occupation,GMail_data_occupation,Google_data_occupation,GoogleDocs_data_occupation,GoogleDrive_data_occupation,GoogleHangoutDuo_data_occupation,GoogleMaps_data_occupation,GooglePlus_data_occupation,GoogleServices_data_occupation,HTTP_data_occupation,HTTP_Proxy_data_occupation,IMO_data_occupation,Instagram_data_occupation,LinkedIn_data_occupation,LotusNotes_data_occupation,Messenger_data_occupation,MS_OneDrive_data_occupation,MSN_data_occupation,NetFlix_data_occupation,Playstation_data_occupation,PlayStore_data_occupation,PS_VUE_data_occupation,Sina.Weibo._data_occupation,Skype_data_occupation,SkypeCall_data_occupation,Snapchat_data_occupation,SoundCloud_data_occupation,Spotify_data_occupation,Steam_data_occupation,TeamViewer_data_occupation,Telegram_data_occupation,TikTok_data_occupation,Tuenti_data_occupation,Twitch_data_occupation,Twitter_data_occupation,Viber_data_occupation,Waze_data_occupation,WeChat_data_occupation,WhatsApp_data_occupation,WhatsAppCall_data_occupation,WhatsAppFiles_data_occupation,Wikipedia_data_occupation,Xbox_data_occupation,Yahoo_data_occupation,YouTube_data_occupation,Zoom_data_occupation,cluster
3232267012,0.760258,0,0,0,0,0,0,0,0,0,0,234.015047,3080.408225,0,0,0,0,0,181.33724,2133.542539,3589.398476,0,0,0,0,0,0,52.026137,0,0,0,0,0,3.705391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.395813,0,35980,0,0,0,0,0,0,0,0,0,0,4265,36871.647059,0,0,0,0,0,19607,54833.790123,5122.150685,0,0,0,0,0,0,6279,0,0,0,0,0,5177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18370,0,0
3232268451,8263.705552,1790.469536,105.991469,6.887054,0,207.197413,228.670506,0,0.250296,0,2737.103204,5612.26977,97207.347764,291.187723,2170.398862,0,0,0,19347.946487,3729.555978,0,0,612.733931,0,0,272.61162,2.101295,2.292014,0,0,1480.153521,0,0,76.140529,0,0,0,0,0,0,0,0,0,0.078851,416.61859,0,0,0,9829.770932,0,0,0.001562,556.835089,240.005756,4105.264854,0,13026.833333,55294572.461539,977.230769,264.75,0,8365.6,366.954545,0,168,0,919.792969,222017.130435,20454.473722,4438485.5,14556.806452,0,0,0,26577.395349,224348.108696,0,0,1441.25,0,0,1077.644444,160,2951.285714,0,0,4180.647059,0,0,3093,0,0,0,0,0,0,0,0,0,404,1287.6875,0,0,0,10056.655556,0,0,120.333333,4335,2674,231049.654762,0,0
3232268453,8059.439236,373.497813,817.836239,605.880364,60.696552,467.63987,288.113832,0,90.647091,0,5135.846183,3684.436703,73151.561357,545.485172,878.164735,0,18.750984,0.934757,32612.690143,14882.760017,0,0,6208.440495,0.000165,0,1137.288908,694.612967,709.702062,0,0,821.011469,0,0,273.474885,0,0,0,0,0,2774.016251,11.320284,0.364918,0,0,1849.448454,0,0,0,6358.5624,0,0,0.020572,0.073215,45.263976,6280.173511,0,6562.363091,106838.743425,58467.66665,12539.561105,4796.479177,2849.91691,3536.390133,0,732.904041,0,10203.283954,531956.429796,17892.076265,252400.423331,97881.827155,0,998.30074,2256.68276,62162.489135,137971.640511,0,0,212661.383763,24.487663,0,1754.725096,1204.480312,2149.276379,0,0,20233.350327,0,0,4150.023789,0,0,0,0,0,5532.428178,65.299638,272.229307,0,0,7005.319112,0,0,0,20261.411735,0,0,27.391442,204.784933,2915.466783,614515.399096,0,2
3232267628,1108.490106,0,684.011731,5.318031,1.001197,0,0,0,5.479999,0,36.787176,1484.474519,20672.364408,241.611998,244.216737,0,0,0,2446.894833,1272.397088,0,0,66.692714,0,0,0.002329,123.407044,784.451877,0,0,240.809579,0,0,355.184405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.638786,151.824155,0,0,268.152229,0,0.002999,0,51040.448276,0,4930.507937,8561,339,0,0,0,83338.75,0,2130.25641,89699.529412,38569.878587,5474.5,4233,0,0,0,8857.645161,1389.572343,0,0,2088.5,0,0,181,10331,7609.529412,0,0,32952,0,0,4768.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11159,31275.26087,0,0,5279.37037,0,263.6,0,0
3232268471,5304.712166,251.108107,1523.750848,291.120728,205.890311,223.418184,58.682413,0,8.271902,0,7313.961128,3688.537611,72840.173649,334.450708,342.259797,19.988954,273.696349,0,52065.07305,2687.769881,1.702634,0,16052.790511,0.000182,0,1480.675868,516.683835,64.002608,0,0,944.222058,0,0,109.52762,0,0,23.947924,0,0,0,3250.32659,0,0,0,45.465782,0,0,0,19101.04488,63.951211,0,0.014371,0,89.866671,1889.408332,0,6798.572935,4660.326328,7078.961067,12690.882672,47435.159117,9350.605913,4262.590087,0,129.444639,0,11447.293461,538841.033015,24799.272942,51444.151762,70536.40866,4913.069211,212.485484,0,37879.561612,102232.252744,127680.171014,0,207411.135323,100.899169,0,1946.418663,2473.298332,1053.472669,0,0,4511.815653,0,0,4236.816521,0,0,3066.583407,0,0,0,10392.489513,0,0,0,408.929471,0,0,0,80424.095724,3318132.495667,0,71.74511,0,6579.80527,188439.887455,0,2
3232266856,1240.902062,0,557.453151,69.947117,82.162209,31.044526,0,0,0,0,4.461468,569.145214,4976.712593,0,5.586547,0,0,0,680.63443,2607.141554,3332.528639,0,0,26.020685,0,0.379667,0,0,0,0,193.299956,0,0,2.310737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.841267,0,6776.729167,0,31515.833333,9891.666667,13430.75,4420,0,0,0,0,2296.846154,346076,53063.421569,0,116161,0,0,0,18230.25,66783.114035,375.335443,0,0,38166,0,565.5,0,0,0,0,6735,0,0,5571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13311.75,0,2
3232268078,3255.498643,0,729.908216,473.694451,0,0,0,0,8218.23079,0,1092.196974,1706.882125,36374.354132,123.948579,58.245144,0,0,0,11536.491527,1317.153686,0.657994,0,1253.535432,0.000615,0,183.236671,36.776149,242.494792,0,0,587.007113,0,0,2328.273973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925.802191,0,0,0,0,18.833528,1605.638779,0,6348.857821,0,823.943617,2214.262862,0,0,0,0,1816.927565,0,2166.265777,100147.848278,11187.418401,13301.785709,549438.343828,0,0,0,9467.255394,33254.364771,59.120641,0,28789.579375,116.127334,0,1943.763199,1456.591209,4338.411438,0,0,9547.651416,0,0,23603.341748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52912.647553,0,0,0,0,217.202262,2980412.176684,0,2
3232266879,3863.912331,0,0,0,0,0,0,0,0,0,1111.557663,227.685789,23593.722425,181.083881,0.001076,0,0,0,10751.689524,325.284266,0,0,0,0,0,10.856765,0,8.039368,0,0,829.439406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6465.851017,0,0,0,0,0,403.112322,0,5333.580645,0,0,0,0,0,0,0,0,0,576.173913,3309,12984.900524,1708030,176.5,0,0,0,11197.909091,357772.333333,0,0,0,0,0,1135.115385,0,7266.2,0,0,17909.363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26449.8,0,0,0,0,0,1963947.571429,0,0
3232266584,10790.836821,119.898187,9024.405921,3021.004044,81.538759,5e-04,676.315271,0,0.000715,0,926.720796,3807.889454,60953.722669,268.189389,1563.712413,0,0,0,19324.251369,4799.940262,0,690.892923,0,0,0,21.647291,0,0,0.034919,0,967.665763,0,0,4.796976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9569.196315,0,0,0,0,199.162334,3695.93211,0,10888.722222,3998,4804.204301,18379.214286,21549.5,240,2281.025,0,168,0,1616.738562,19149.635294,39879.817003,25418,8111.882353,0,0,0,38808.846995,45795.245614,0,58,0,0,0,1166.757282,0,0,123.666667,0,7859.272727,0,0,6052.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92044.989691,0,0,0,0,4748.75,12122.166667,0,2
3232268056,6409.961722,100.275753,857.985682,396.010109,19.855073,33.80616,3.563046,0,3783.021048,0,1458.450504,1357.762541,25810.813575,0.986721,0,0,0,0,7545.589536,4174.356859,0,0,1136.507271,11.838615,0,1448.570719,12.877338,210.525925,4591.938914,0,632.97539,0,0,716.59204,0,0,0,0,825.50836,0,0,0,0,0,1813.278104,0,0,0,14894.343863,0,0,0,1.869873,0,6664.380475,0,8231.817343,92751.640547,5552.232424,12404.324892,10173.615834,3733.36288,622.10433,0,4385.441027,0,637.965528,9931.796915,15135.183087,6977.438361,0,0,0,0,9203.21316,46418.396999,0,0,400.967991,328.872659,0,1940.721404,3842.193286,1328.83667,7389.266538,0,8770.93208,0,0,2259.823837,0,0,0,0,4700.196626,0,0,0,0,0,20476.354318,0,0,0,647029.812795,0,0,0,40.252288,0,750297.002943,0,2
3232268480,2092.240183,649.315919,1370.186032,211.417931,121.199043,103.247481,0,0,0,0,8.997307,1115.241164,39641.72936,240.263628,243.533034,0,0,0,8862.668668,1283.031613,0,0,0,0,0,0,123.411823,673.252964,499.102083,0,1361.907736,0,0,131.85319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2772.642397,760.970882,0,0,0,77.728829,5781.76201,0,47908.103448,1333973.111111,38428.679612,7571.25,10319.6,42046.571429,0,0,0,0,1481.02381,10728.818182,108150.173709,11874,2729.666667,0,0,0,43748.310976,23249.903226,0,0,0,0,0,0,4970.5,9388.6875,8446.181818,0,19608.642857,0,0,8830.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17813.636364,77914.8,0,0,0,8968.6,1992709.107143,0,2
3232268074,6591.991529,403.675571,512.485609,188.548154,78.65482,53.405285,38.21673,0,1506.043603,0,593.860274,3659.404574,41325.527532,457.107203,105.799727,0,0,50.037031,13824.872735,10599.650274,0.001064,0,1170.83121,291.84473,0,134.936712,6390.330739,11.08802,0,0,662.950624,0,0,73.50714,0,0,0,0,0,0,0,0,0,0,4527.140196,0,0,0,15918.611506,2.974434,0,0,548.625753,189.195002,1964.580168,0,22900.149189,66297.877885,6499.462811,7279.831692,9600.339715,741.216297,652.720228,0,2194.974172,0,2930.453796,438405.308243,31332.719294,4705.624665,60668.814946,0,0,1336.317504,8784.403648,52209.93978,26.59259,0,31275.054274,2314.183902,0,3215.898699,4975.180397,209.982903,0,0,78418.552543,0,0,4784.103696,0,0,0,0,0,0,0,0,0,0,134721.41025,0,0,0,248886.6657,84.704116,0,0,698.394667,3182.805066,224029.689092,0,2
3232266961,4620.14898,378.708066,1762.684147,460.443841,579.986792,55.091831,0,0,5421.574161,0,762.079085,4739.98103,75957.498461,559.227196,1227.453261,0,0,0,12181.036276,6474.413802,9298.097924,0,0.02772,0.000176,0,32.052538,876.652968,322.862718,201.831482,0,883.783769,0,0,312.133897,0,0,2.369658,261.658394,0,0,0,0,0,0,1034.110776,0,0,0,1996.659829,0,0,0,0.015829,412.812914,292.884371,0,17462.265909,5334.559778,69389.911992,13316.315482,10425.927747,8331.702473,0,0,20222.851124,0,2907.663206,138837.188533,31021.743019,688244.818487,782000.377165,0,0,0,11230.267339,75170.395245,4676.663617,0,47.153338,66.272097,0,582.509008,3186.537348,2452.987576,2959.316,0,1037.407137,0,0,3461.871799,0,0,868.477923,1345.686976,0,0,0,0,0,0,4233.608909,0,0,0,45030.585048,0,0,0,13166.694204,6563.775572,50116.420878,0,2
3232268460,7730.146584,0,915.984926,1267.918872,0,98.095269,0,0,214.654887,0,1974.331394,1615.942159,41163.518754,1876.2023,345.399505,0,0,0,11913.783851,4934.085798,0,0,2110.514041,0.000443,0,690.542847,365.094651,63.578977,0,0,264.153061,0,0,133.783926,57.335968,0,0,301.525143,0,0,0,0,0,0,178.822148,0,0,0,7063.879138,0,0,0,0,0.040206,1359.992624,0,4736.617188,0,3141.694444,2704.6,0,7213.4,0,0,2765.75,0,2602.647059,9504.434783,34408.645467,273837.060606,136331.857143,0,0,0,7319.492308,96944.074627,0,0,161068.058824,163,0,2156.686567,5982.333333,2522.333333,0,0,6028.571429,0,0,10262.857143,1121.333333,0,0,4475.857143,0,0,0,0,0,0,2672.111111,0,0,0,5122.445205,0,0,0,0,384.272727,237104.333333,0,0
3232267741,233.516388,0,0,0,0,0,0,0,0,0,67.054284,1678.111119,8135.8696,0,0.000784,0,0,0,466.899968,995.195157,817.332932,0,0,141.18008,0,0,0,120.717748,0,0,0,0,0,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.243773,0,36779.666667,0,0,0,0,0,0,0,0,0,6198.421053,499744.25,32705.568841,0,140,0,0,0,5813.263158,6610.205128,3739.5,0,0,2340.8,0,0,0,2166.8,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16753.666667,0,0
3232268332,7904.486178,538.674288,984.903272,393.732101,79.13225,30.979705,0,0,0,0,96.831509,682.263472,40201.270075,605.350414,404.034376,0,0,0,14379.377704,3812.906041,0,0,1468.605098,2.331823,0,460.490955,100.365769,1.720877,0.116525,0,247.116033,0,0,4233.563679,0.000225,0,0.000783,0,0,0,0,0,0,0,9.805669,0,0,0,3198.673532,0,0,0,0,8.844137,2605.10536,0,11353.190379,1981.230719,59145.185991,8072.667412,30396.739042,8956.95944,0,0,0,0,631.438124,23314.120712,15424.928173,16448905.477556,119119.661599,0,0,0,7773.193883,5210.088311,0,0,4733.317999,804.955468,0,2273.684689,422.671175,1183.946131,854.507139,0,4018.656122,0,0,9808.902842,191.425275,0,33.291075,0,0,0,0,0,0,0,523.702366,0,0,0,37740.720105,0,0,0,0,5307.480075,27618.964403,0,2
3232267200,7363.296871,996.822096,0,0,0,0,0,0,0,0,144.785648,23737.185887,379203.712045,10432.319851,2157.180765,0,342.341493,17.034983,47301.978144,97992.038656,129430.316649,0,60.296982,18.718241,0,0,0,474.15627,0,0.432702,241.233073,0,0,19926.094008,0,0,0,5890.11383,0,22345.065569,0,0,0,0,6876.609812,0,0,0,0,0,0,434.886785,0,443.943766,20648.320769,0,35421.101222,14661.719463,0,0,0,0,0,0,0,0,8056.889955,139262.170397,18596.811965,9341.158162,184801.149305,0,1354.325363,2825.032909,21936.414992,1496863.731246,36280.408538,0,34122.106802,4308.603626,0,0,0,1195.670627,0,1773.909428,2849.373138,0,0,48505.539061,0,0,0,139422.249287,0,22278.246918,0,0,0,0,74170.452925,0,0,0,0,0,0,30239.912973,0,5247.026498,491250.983962,0,1
